93,Proxima Centauri,b,0.1238,1.2700,1.0700,4.8500e-02,11.1860,5.0487e-02,2.0141e-01,6.8865e-04,7.5129e-23,0.3000,1.0000e+02,0.3700
103,HD 147379,b,0.6314,24.7000,5.2800,3.1930e-01,86.5400,1.3577e-01,2.0716e+00,5.3404e-02,2.6307e-09,1.5000,3.9162e+04,0.2347
106,V2306 Oph,c,0.3022,3.4100,1.6600,8.9000e-02,17.8719,7.0172e-02,3.8152e-01,3.9854e-03,1.3547e-17,0.3807,1.6341e+02,0.3606
113,HD 156384 C,c,0.3268,3.8000,1.7800,1.2500e-01,28.1400,7.2751e-02,5.4124e-01,2.2765e-03,1.3107e-19,0.4412,2.2918e+02,0.3535
115,HD 156384 C,e,0.3268,2.7000,1.4700,2.1300e-01,62.2400,6.4918e-02,8.2297e-01,1.6846e-04,1.9687e-28,0.3000,1.0000e+02,0.3700
116,HD 156384 C,f,0.3268,2.7000,1.4200,1.5600e-01,39.0260,6.4918e-02,6.0274e-01,3.7309e-04,1.3547e-25,0.3000,1.0000e+02,0.3700
124,CD-44 11909,b,0.2743,4.4000,1.9200,8.0000e-02,17.4780,7.6394e-02,3.8561e-01,8.8238e-03,5.6892e-15,0.5118,3.3075e+02,0.3453
125,CD-44 11909,c,0.2743,8.7000,2.8100,1.7600e-01,57.3200,9.5885e-02,1.0648e+00,5.3567e-03,5.2726e-17,0.9605,2.0941e+03,0.2929
148,V1428 Aql,b,0.4745,12.2000,3.4000,3.3570e-01,105.9000,1.0732e-01,1.8937e+00,3.6654e-03,1.8786e-18,1.2580,5.2734e+03,0.2582
179,Kepler-186,f,0.5493,1.6500,1.1700,4.3200e-01,129.9441,5.5090e-02,1.1913e+00,9.4781e-06,6.1887e-38,0.3000,1.0000e+02,0.3700
187,HD 204961,c,0.4404,5.4000,2.1600,1.6300e-01,35.6800,8.1791e-02,7.1837e-01,3.8290e-03,5.6805e-18,0.6328,5.8529e+02,0.3312
195,IL Aqr,b,0.3381,760.9000,13.1000,2.1400e-01,61.0820,4.2562e-01,5.3598e+00,5.3598e+00,7.3561e+06,1.5000,1.0000e+06,0.2540
196,IL Aqr,c,0.3381,241.5000,13.6600,1.3400e-01,30.1260,2.9032e-01,2.2893e+00,2.2893e+00,6.6098e+03,1.5000,1.0000e+06,0.2540
201,2MUCD 12171,d,0.0898,0.3900,0.7700,2.1440e-02,4.0496,3.4062e-02,6.6855e-02,4.3272e-04,9.4617e-24,0.3000,1.0000e+02,0.3700
202,2MUCD 12171,e,0.0898,0.7200,0.9200,2.8170e-02,6.0996,4.1785e-02,1.0776e-01,7.1761e-04,2.2228e-22,0.3000,1.0000e+02,0.3700
203,2MUCD 12171,f,0.0898,1.1300,1.0400,3.7100e-02,9.2067,4.8559e-02,1.6492e-01,8.0726e-04,3.0881e-22,0.3000,1.0000e+02,0.3700
204,2MUCD 12171,g,0.0898,1.4800,1.1300,4.5100e-02,12.3529,5.3129e-02,2.1936e-01,8.1854e-04,2.2788e-22,0.3000,1.0000e+02,0.3700
