ID,Name,Alt. name,Karmn,RA_J2015.5,DE_J2015.5,d_pc,ed_pc,Ref_d,SpT,SpTnum,COMMENTS,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref19,u_mag,eu_mag,Ref20,BT_mag,eBT_mag,Ref21,B_mag,eB_mag,Ref22,g_mag,eg_mag,Ref23,BPmag,e_BPmag,Ref_24,VT_mag,eVT_mag,Ref25,V_mag,eV_mag,Ref26,Gmag,e_Gmag,Ref_27,r_mag,er_mag,Ref28,i_mag,ei_mag,Ref29,RPmag,e_RPmag,Ref_30,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qflag_2M,Ref31,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,Qflag_W,Ref32,K,M_Ben16,M_Del00,M_adopted,Source,M_mann,eM_mann,Model,Teff,logg,Meta.,Lbol,Lberr
27,NGTS-1,,,05:30:51.41,-36:37:51.5,219.5,1.0,GDR2,M0.5V,0.5,,,,,,,,,,,,,16.937,0.090,UCAC4,16.288,0,UCAC4,15.7812,0.0023,GDR2,,,,15.57,0.03,UCAC4,14.8661,5E-04,GDR2,14.999,0.01,UCAC4,14.328,0.02,UCAC4,13.9208,0.0019,GDR2,12.702,0.024,12.058,0.022,11.936,0.027,AAA,2MASS,11.81,0.023,11.772,0.022,11.75,0.184,8.833,,AABU,WISE,5.2288,0.6148,0.6089,0.6089,Del00,0.5674,0.0144,bt-settl-cifist,3900,4.5,0,0.06787699,0.0014007187
28,HATS-6,,,05:52:35.23,-19:01:53.9,170.1,1.1,GDR2,M1V,1,,,,,,,,,,,,,16.664,0.040,UCAC4,15.926,0.03,UCAC4,15.3839,0.0021,GDR2,,,,15.16,0.02,UCAC4,14.3601,3E-04,GDR2,14.568,0.03,UCAC4,13.734,0.03,UCAC4,13.3581,0.0019,GDR2,12.046,0.024,11.397,0.023,11.224,0.023,AAA,2MASS,11.108,0.024,11.122,0.021,11.216,0.141,8.89,,AABU,WISE,5.0699,0.6297,0.6429,0.6429,Del00,0.5912,0.0150,bt-settl-cifist,3800,4.5,0,0.07023512,0.0015372575
29,BD-06 1339,GJ 221,,05:52:59.70,-05:59:49.0,20.28,0.02,GDR2,K7V,-1,,,,,,,,,,11.519,0.079,TYC2,11.036,0.060,UCAC4,10.448,0.02,UCAC4,9.9492,0.0026,GDR2,9.877,0.033,TYC2,9.871,0.09,UCAC4,9.1068,6E-04,GDR2,9.141,0,CMC15,8.594,0.07,UCAC4,8.2415,0.0026,GDR2,7.128,0.018,6.517,0.059,6.305,0.018,AAA,2MASS,6.266,0.087,6.232,0.027,6.231,0.016,6.213,0.056,AAAA,WISE,4.7695,0.6433,0.7071,0.7071,Del00,0.6348,0.0159,bt-settl-cifist,4100,4.5,0,0.10393205,0.0024184755
30,HD 42581,GJ 229A,J06105-218,06:10:34.46,-21:52:03.8,5.757,0.002,GDR2,M0.5V,0.5,BEST PS1,,,,,,,,,10.028,0.021,TYC2,9.941,0.070,UCAC4,8.7131,0.0298,PS1,8.3862,0.0012,GDR2,8.345,0.011,TYC2,9.082,0.1,UCAC4,7.3072,6E-04,GDR2,7.772,0,CMC15,7.2144,0.0499,PS1,6.3041,0.0014,GDR2,5.104,0.037,4.393,0.254,4.166,0.232,EDD,2MASS,4.042,0.282,3.64,0.09,3.903,0.017,3.839,0.025,BAAA,WISE,5.3649,0.5986,0.5799,0.5986,Ben16,0.5461,0.0383,bt-settl-cifist,3700,4.5,0,0.054162834,0.0028176028
31,PM J06168+2435,K2-26,,06:16:49.54,+24:35:45.0,99.3,0.5,GDR2,M1V,1,,,,,,,17.94,0.012,SDSS9,,,,15.968,0.130,UCAC4,15.296,0.02,UCAC4,14.8422,0.003,GDR2,,,,14.528,0.05,UCAC4,13.7519,4E-04,GDR2,13.927,0.08,UCAC4,13.2209,0.001,PS1,12.7345,0.0017,GDR2,11.35,0.024,10.762,0.022,10.53,0.018,AAA,2MASS,10.422,0.023,10.349,0.021,10.409,0.086,8.915,,AAAU,WISE,5.5446,0.5732,0.5422,0.5732,Ben16,0.5181,0.0127,bt-settl-cifist,3700,4.5,0,0.04435258,8.991998E-04
32,Luyten's star,GJ 273,J07274+052,07:27:25.09,+05:12:35.6,3.80,0.02,HIP2,M3.5V,3.5,SEVERAL PS1 & Use [Fe/H]=-1,21.471,0.375,20.086,0.143,GALEX,,,,11.771,0.079,TYC2,11.45,0.01,UCAC4,10.5394,0.0263,PS1,,,,10.027,0.03,TYC2,9.909,0.01,UCAC4,,,,9.3356,0.0715,PS1,7.9633,0.2511,PS1,,,,5.714,0.032,5.219,0.063,4.857,0.023,AAA,2MASS,4.787,0.223,4.268,0.131,4.484,0.019,4.314,0.029,BBAA,WISE,6.9564,0.3155,0.2914,0.3155,Ben16,0.2946,0.0076,bt-settl,3200,4.5,-0.5,0.00990013,3.521392E-04
33,LP 424-4,GJ 3470,J07590+153,07:59:05.64,+15:23:28.4,29.45,0.05,GDR2,M1.5V,1.5,,,,,,,15.934,0.007,SDSS9,,,,13.785,0.040,UCAC4,13.024,0.05,UCAC4,12.5863,0.0018,GDR2,,,,12.332,0.02,UCAC4,11.3537,0.0013,GDR2,11.73,0.01,UCAC4,10.672,0.03,UCAC4,10.2906,0.0013,GDR2,8.794,0.026,8.206,0.023,7.989,0.023,AAA,2MASS,7.807,0.027,7.783,0.02,7.683,0.02,7.786,0.215,AAAB,WISE,5.6438,0.5576,0.5218,0.5576,Ben16,0.5023,0.0123,bt-settl-cifist,3500,4.5,0,0.04005411,4.945222E-04
34,NGC 2632 JS 183,K2-95,,08:37:27.02,+18:58:35.8,180.7,4.0,GDR2,M3V,3,W W_ sim \U4 \AP BV,,,,,,20.375,0.046,SDSS9,,,,,,,18.005,0.006,SDSS9,17.4539,0.0094,GDR2,,,,,,,16.0836,9E-04,GDR2,16.604,0.005,SDSS9,15.362,0.004,SDSS9,14.914,0.0022,GDR2,13.312,0.021,12.738,0.024,12.474,0.021,AAA,2MASS,12.331,0.024,12.225,0.027,11.282,0.409,7.435,,AACU,WISE,6.1897,0.459,0.4156,0.459,Ben16,0.4127,0.0127,bt-settl-cifist,3400,4.5,0,0.02189585,0.0011292703
35,K2-146,EPIC 211924657,,08:40:06.41,+19:05:32.4,79.5,0.5,GDR2,M3V,3,,,,,,,19.57,0.028,SDSS9,,,,17.873,0.170,UCAC4,16.889,0.07,UCAC4,16.4311,0.0031,GDR2,,,,16.248,0.01,UCAC4,14.9834,5E-04,GDR2,15.525,0.01,UCAC4,14.166,0.15,UCAC4,13.7921,0.0016,GDR2,12.183,0.021,11.605,0.018,11.37,0.023,AAA,2MASS,11.175,0.023,11.03,0.021,10.98,0.191,8.451,,AABU,WISE,6.8688,0.3309,0.3039,0.3309,Ben16,0.3074,0.0080,bt-settl-cifist,3300,4.5,0,0.012361711,2.7230993E-04
36,LP 844-8,GJ 317,J08409-234,08:40:58.69,-23:27:10.1,15.203,0.013,GDR2,M3.5,3.5,M2.5V in Ang11,,,21.457,0.391,GALEX,,,,,,,13.537,0.040,UCAC4,12.698,0.02,UCAC4,12.2457,0.0015,GDR2,,,,11.975,0.04,UCAC4,10.7539,8E-04,GDR2,11.394,0.02,UCAC4,10.019,0.04,UCAC4,9.5831,0.0017,GDR2,7.934,0.027,7.321,0.071,7.028,0.02,AAA,2MASS,6.867,0.065,6.766,0.021,6.704,0.016,6.502,0.059,AAAA,WISE,6.1183,0.4726,0.4288,0.4726,Ben16,0.4245,0.0102,bt-settl-cifist,3300,4.5,0,0.022412438,3.7827474E-04
37,NGC 2632 JS 597 ,EPIC 211964830,,08:45:26.00,+19:41:54.2,186.6,2.1,GDR2,M2V,2.0,,,,,,,19.994,0.036,SDSS9,,,,,,,17.499,0.005,SDSS9,16.9460,0.0060,GDR2,,,,,,,15.6630,0.0010,GDR2,16.089,0.004,SDSS9,14.963,0.004,SDSS9,14.538,0.0020,GDR2,13.047,0.025,12.386,0.022,12.183,0.020,AAA,2MASS,12.048,0.023,11.978,0.02,11.317,0.294,8.173,,AABU,WISE,5.829,0.5261,0.4845,0.5261,Ben16,0.4721,0.0121,bt-settl-cifist,3500,4.5,0,0.03170506,9.525969E-04
38,BD+02 2098,GJ 328,,08:55:07.67,+01:32:31.2,20.54,0.02,GDR2,M0.0V,0,.eu: K7 & sim: M0 & .edu: M1,,,,,,14.706,0.008,SDSS9,11.706,0.09,,11.297,0.02,UCAC4,10.667,0.01,UCAC4,10.2077,0.001,GDR2,10.131,0.041,,9.997,0.01,UCAC4,9.2861,4E-04,GDR2,9.371,0.01,UCAC4,8.691,0.04,UCAC4,8.3667,7E-04,GDR2,7.191,0.027,6.523,0.018,6.352,0.026,AAA,2MASS,6.301,0.081,6.185,0.026,6.271,0.015,6.213,0.053,AAAA,WISE,4.7891,0.643,0.7029,0.7029,Del00,0.6319,0.0161,bt-settl-cifist,3900,4.5,0,0.09945745,0.0012176766
39,K2-117,EPIC 211331236,,08:55:25.38,+10:28:09.2,101.9,0.4,GDR2,M1.0V,1,,,,,,,18.097,0.013,SDSS9,,,,16.137,0.04,UCAC4,15.417,0.12,UCAC4,14.874,0.0017,GDR2,,,,14.655,0.06,UCAC4,13.8012,2E-04,GDR2,14.048,0.01,UCAC4,13.209,0.15,UCAC4,12.7741,0.0012,GDR2,11.447,0.023,10.801,0.029,10.589,0.025,AAA,2MASS,10.489,0.022,10.44,0.019,10.334,0.079,8.9,,AAAU,WISE,5.5475,0.5728,0.5416,0.5728,Ben16,0.5176,0.0129,bt-settl-cifist,3700,4.5,0,0.044440065,9.4209146E-04
40,BD+48 1829,GJ 378,,10:02:20.77,+48:04:56.8,14.96,0.01,GDR2,M1V,1.0,NEW 2019,,,19.263,0.085,GALEX,14.756,0.006,SDSS9,,,,11.710,0.000,UCAC4,10.775,0.030,UCAC4,10.305,0.001,GDR2,,,,10.201,0.000,UCAC4,9.265,0.000,GDR2,9.559,0.020,UCAC4,8.618,0.010,UCAC4,8.275,0.001,GDR2,6.949,0.020,6.355,0.024,6.160,0.016,AAA,2MASS,6.103,0.093,5.831,0.037,5.965,0.015,5.883,0.046,AAAA,WISE,5.2853,0.6085,0.5968,0.5968,Del00,0.5589,0.0137,bt-settl-cifist,3700,5,0,0.057657912,0.0010483129
41,LTT 3758,GJ 1132,,10:14:50.18,-47:09:17.8,12.618,0.007,GDR2,M4.5V,4.5,\U4\C15\S9\PS1,,,,,,,,,,,,15.228,0.028,APASS9,14.292,0.027,APASS9,13.7582,0.0021,GDR2,,,,13.504,0.022,APASS9,12.138,4E-04,GDR2,12.869,0.032,APASS9,11.313,0.095,APASS9,10.9217,0.0013,GDR2,9.245,0.026,8.666,0.031,8.322,0.027,AAA,2MASS,8.17,0.023,8,0.02,7.862,0.018,7.916,0.184,AAAB,WISE,7.8171,0.1923,0.1911,0.1923,Ben16,0.1938,0.0051,bt-settl-cifist,3200,4.5,0,0.004652973,5.8015317E-05
42,K2-239,EPIC 248545986,,10:42:22.59,+04:26:28.9,31.11,0.08,GDR2,M3.0V,3.0,\T2\G5,,,,,,,,,,,TYC2,16.206,0.06,UCAC4,15.327,0.030,UCAC4,14.7874,0.0037,GDR2,,,,14.549,0.04,UCAC4,13.4367,0.0007,GDR2,13.906,0.020,UCAC4,12.718,0.030,UCAC4,12.292,0.0027,GDR2,10.781,0.026,10.192,0.02,9.971,0.021,AAA,2MASS,9.774,0.022,9.634,0.02,9.513,0.042,8.765,,AAAU,WISE,7.5063,0.2302,0.2227,0.2302,Ben16,0.2258,0.0057,bt-settl-cifist,3400,4.5,0,0.007190233,9.355018E-05
43,LP 905-36,GJ 3634,,10:58:34.40,-31:08:39.6,20.39,0.03,GDR2,M2.5V,2.5,,,,21.793,0.378,GALEX,,,,,,,13.453,0.04,UCAC4,12.678,0.03,UCAC4,12.1927,0.0013,GDR2,,,,11.926,0.02,UCAC4,10.9233,9E-04,GDR2,11.309,0.02,UCAC4,10.198,0.06,UCAC4,9.8419,8E-04,GDR2,8.361,0.023,7.762,0.049,7.47,0.027,AAA,2MASS,7.241,0.036,7.223,0.02,7.126,0.018,6.879,0.09,AAAA,WISE,5.9229,0.5091,0.4660,0.5091,Ben16,0.4566,0.0114,bt-settl-cifist,3500,4.5,0,0.028844314,4.4597618E-04
44,Lalande 21185,GJ 411,J11033+359,11:03:20.19,+35:58:11.6,2.547,0.004,HIP2,M1.5V,1.5,BEST gri & BRIGHT & allW disaster $ RA DE J2000 (only this one),20.299,0.198,17.609,0.032,GALEX,11.326,0.001,SDSS9,9.357,0.019,TYC2,7.506,0,UCAC4,8.3051,0.001,PS1,,,,7.659,0.011,TYC2,7.49,0,UCAC4,,,,7.393,0,CMC15,6.41,0.001,SDSS9,,,,4.203,0.242,3.64,0.202,3.254,0.306,DCD,2MASS,3.239,0.136,2.36,0.071,3.045,0.01,2.934,0.024,UUAA,WISE_,6.2239,0.4524,0.4094,0.4524,Ben16,0.4070,0.0499,bt-settl-cifist,3400,4.5,0,0.018534856,0.0013018438
45,Innes' star,GJ 422,,11:15:55.45,-57:32:33.2,12.668,0.007,GDR2,M3.5V,3.5,\S9\C15\PS1,,,,,,,,,,,,11.607,0,UCAC4,12.276,0.04,UCAC4,11.8557,0.0012,GDR2,,,,11.66,0,UCAC4,10.4771,6E-04,GDR2,11.019,0,UCAC4,9.683,0.03,UCAC4,9.3483,0.0011,GDR2,7.811,0.02,7.304,0.053,7.035,0.031,AAA,2MASS,6.927,0.062,6.679,0.024,6.669,0.015,6.434,0.044,AAAA,WISE,6.5215,0.3952,0.3579,0.3952,Ben16,0.3595,0.0095,bt-settl-cifist,3400,4.5,0,0.017896352,2.5137977E-04
