ID,Name,Alt. name,Karmn,RA_J2015.5,DE_J2015.5,d_pc,ed_pc,Ref_d,SpT,SpTnum,COMMENTS,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref19,u_mag,eu_mag,Ref20,BT_mag,eBT_mag,Ref21,B_mag,eB_mag,Ref22,g_mag,eg_mag,Ref23,BPmag,e_BPmag,Ref_24,VT_mag,eVT_mag,Ref25,V_mag,eV_mag,Ref26,Gmag,e_Gmag,Ref_27,r_mag,er_mag,Ref28,i_mag,ei_mag,Ref29,RPmag,e_RPmag,Ref_30,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qflag_2M,Ref31,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,Qflag_W,Ref32,K,M_Ben16,M_Del00,M_adopted,Source,M_mann,eM_mann,Model,Teff,logg,Meta.,Lbol,Lberr
46,K2-22,EPIC 201637175,,11:17:55.85,+02:37:08.5,245.5,2.8,GDR2,M0V,0,W_ better,,,,,,19.074,0.024,SDSS9,,,,17.042,0.01,UCAC4,16.352,0.04,UCAC4,15.8445,0.0053,GDR2,,,,15.597,0.01,UCAC4,14.9537,8E-04,GDR2,15.002,0.04,UCAC4,14.275,0.08,UCAC4,13.9639,0.0116,GDR2,12.726,0.024,12.088,0.03,11.924,0.026,AAA,2MASS,11.716,0.022,11.686,0.023,11.219,0.145,9.144,0.537,AABU,WISE_,4.9735,0.6363,0.6636,0.6636,Del00,0.6053,0.0158,bt-settl-cifist,3900,4.5,0,0.0809611,0.0030385489
47,PM J11293-0127,K2-3,,11:29:20.49,-01:27:18.5,44.1,0.1,GDR2,M0V,0,,,,21.411,0.217,GALEX,15.72,0.006,SDSS9,,,,13.524,0.06,UCAC4,12.871,0.03,UCAC4,12.3962,0.0032,GDR2,,,,12.167,0.01,UCAC4,11.4785,0.001,GDR2,11.582,0.02,UCAC4,10.983,0.17,UCAC4,10.5531,9E-04,GDR2,9.421,0.027,8.805,0.044,8.561,0.023,AAA,2MASS,8.443,0.022,8.424,0.019,8.322,0.021,8.251,0.298,AAAB,WISE,5.3374,0.6021,0.5857,0.6021,Ben16,0.5506,0.0137,bt-settl-cifist,3900,4.5,0,0.0603475,0.0012046206
48,PM J11302+0735,K2-18,,11:30:14.43,+07:35:16.2,38.07,0.08,GDR2,M2.5V,2.5,\T2\G,,,,,,16.722,0.009,SDSS9,,,,15.005,0.06,UCAC4,14.223,0.05,UCAC4,13.733,0.0027,GDR2,,,,13.496,0.05,UCAC4,12.4154,5E-04,GDR2,12.858,0.04,UCAC4,11.661,0.08,UCAC4,11.2908,0.0016,GDR2,9.763,0.028,9.135,0.026,8.899,0.019,AAA,2MASS,8.769,0.023,8.668,0.02,8.552,0.025,8.587,0.379,AAAC,WISE,5.9962,0.4956,0.4518,0.4956,Ben16,0.4446,0.0107,bt-settl-cifist,3500,4.5,0,0.026395837,4.1945366E-04
49,CD-31 9113,GJ 433,,11:35:26.86,-32:32:37.1,9.067,0.004,GDR2,M1.5V,1.5,,,,,,,,,,11.59,0.075,TYC2,11.318,0.04,UCAC4,10.587,0.01,UCAC4,10.0602,7E-04,GDR2,10.047,0.033,TYC2,9.821,0.05,UCAC4,8.8914,4E-04,GDR2,9.278,0.01,UCAC4,8.067,0.01,UCAC4,7.8453,7E-04,GDR2,6.471,0.018,5.856,0.036,5.623,0.021,AAA,2MASS,5.447,0.206,5.213,0.054,5.34,0.015,5.204,0.035,BAAA,WISE,5.8357,0.5248,0.4831,0.5248,Ben16,0.4710,0.0114,bt-settl-cifist,3600,4.5,0,0.033954147,5.1853195E-04
50,Ross 1003,GJ 1148,,11:41:43.83,+42:45:05.7,11.018,0.006,GDR2,M4V,4,GJ 1148,,,22.343,0.483,GALEX,15.899,0.008,SDSS9,,,,13.394,0.04,UCAC4,12.528,0.06,UCAC4,12.1617,0.0022,GDR2,11.894,0.005,TYC2,11.959,0.03,UCAC4,10.5769,6E-04,GDR2,11.4,0.06,UCAC4,9.951,0.05,UCAC4,9.3771,0.0018,GDR2,7.608,0.018,7.069,0.023,6.822,0.016,AAA,2MASS,6.672,0.078,6.443,0.024,6.446,0.015,6.254,0.047,AAAA,WISE,6.6115,0.3781,0.3433,0.3781,Ben16,0.3456,0.0082,bt-settl-cifist,3200,4.5,0,0.01498976,1.6851345E-04
51,Ross 905,GJ 436,J11421+267,11:42:12.13,+26:42:11.0,9.756,0.009,GDR2,M2.5V,2.5,,,,20.643,0.202,GALEX,15.099,0.006,SDSS9,12.522,0.28,TYC2,12.179,0.01,UCAC4,11.813,0.001,SDSS9,10.9173,0.0021,GDR2,10.759,0.084,TYC2,10.613,0.01,UCAC4,9.5715,9E-04,GDR2,10.126,0.001,SDSS9,8.957,0.001,SDSS9,8.4599,0.0021,GDR2,6.9,0.024,6.319,0.023,6.073,0.016,AAA,2MASS,6.017,0.11,5.69,0.048,5.76,0.014,5.58,0.039,BAAA,WISE,6.1267,0.471,0.4272,0.471,Ben16,0.4232,0.0100,bt-settl-cifist,3300,4.5,0,0.023894517,3.5456172E-04
52,LP 613-39,K2-9,,11:45:03.29,+00:00:19.5,83.2,0.4,GDR2,M2.5V,2.5,\T2\G\U4\AP,,,,,,19.378,0.031,SDSS9,,,,,,,16.733,0.004,SDSS9,16.1017,0.0061,GDR2,,,,,,,14.8665,6E-04,GDR2,15.153,0.004,SDSS9,14.497,0.001,SDSS9,13.7691,0.0014,GDR2,12.451,0.024,11.71,0.022,11.495,0.023,AAA,2MASS,11.348,0.022,11.214,0.021,11.354,0.193,8.812,,AABU,WISE,6.8954,0.3262,0.3001,0.3262,Ben16,0.3036,0.0078,bt-settl-cifist,3500,4.5,0,0.012170071,1.9767339E-04
53,FI Vir,GJ 447,,11:47:45.02,+00:47:57.4,3.375,0.001,GDR2,M4V,4,large eBT & best gri,23.103,0.451,21.828,0.096,GALEX,15.743,0.009,SDSS9,15.457,1.247,TYC2,12.861,0.04,UCAC4,11.887,0.01,UCAC4,11.388,0.0025,GDR2,11.451,0.141,TYC2,11.114,0.03,UCAC4,9.5907,0.0011,GDR2,10.492,0.06,UCAC4,8.3918,0.001,PS1,8.3454,0.0019,GDR2,6.505,0.023,5.945,0.024,5.654,0.024,AAA,2MASS,5.437,0.171,5.068,0.075,5.185,0.013,5.025,0.033,BAAA,WISE,8.0127,0.1726,0.1737,0.1726,Ben16,0.1764,0.0045,bt-settl-cifist,3100,4.5,0,0.0038269162,5.5805423E-05
54,K2-152,EPIC 201128338,,12:06:31.78,-05:49:38.8,108.8,0.4,GDR2,M0V,0,,,,,,,,,,,,,15.098,0.06,UCAC4,14.407,0.02,UCAC4,13.9476,0.0019,GDR2,,,,13.728,0.02,UCAC4,13.0383,5E-04,GDR2,13.112,0.03,UCAC4,12.524,0.08,UCAC4,12.1076,0.001,GDR2,10.956,0.03,10.277,0.02,10.096,0.02,AAA,2MASS,10.016,0.023,10.039,0.02,9.99,0.064,8.581,,AAAU,WISE,4.9131,0.6394,0.6765,0.6765,Del00,0.6142,0.0155,bt-settl-cifist,3900,4.5,0,0.088614605,0.0016136906
55,K2-153,EPIC 201598502,,12:15:14.13,+02:01:15.2,143.7,0.9,GDR2,M3.0V,3,U4=S9=C15=PS1,,,,,,18.427,0.016,SDSS9,,,,16.433,0.15,UCAC4,15.742,0.07,UCAC4,15.2592,0.0031,GDR2,,,,14.979,0.03,UCAC4,14.2706,4E-04,GDR2,14.418,0.03,UCAC4,13.685,0.02,UCAC4,13.2919,0.0011,GDR2,12.023,0.022,11.391,0.024,11.207,0.023,AAA,2MASS,11.101,0.023,11.046,0.021,11.019,0.149,8.689,,AABU,WISE,5.4195,0.5913,0.5684,0.5913,Ben16,0.5379,0.0135,bt-settl-cifist,3800,4.5,0,0.053529203,0.0012014102
